OpenTerm	la	en	de	SNOMED
candi.	candida sp.			3265006
candi.albi	candida albicans			53326005
candi.dubli	candida dubliniensis			115952006
candi.glabra	candida glabrata			444877006
candi.gui	candida guilliermondii			16557001
candi.inco	candida inconspicua			283871001
candi.kefyr	candida kefyr			446237006
candi.krus	candida krusei			76995003
candi.lusi	candida lusitaniae			47608006
candi.papsi	candida parapsilosis			61302002
candi.tropi	candida tropicalis			47885008
candi.auri	candida auris			
				
asper.fumi	aspergillus fumigatus			32684000
asper.niger	aspergillus niger			89354002
cryco.neo	cryptococcus neoformans			
